"MostUsed" "SentCount" "SentLen" "WordCount" "WordLen" "," "." ":" "CC" "CD" "DT" "EX" "IN" "JJ" "JJS" "MD" "NN" "NNP" "NNS" "POS" "PRP" "PRP$" "RB" "RP" "TO" "UH" "VB" "VBD" "VBG" "VBN" "VBP" "VBZ" "WDT" "WP" "WRB" "Adjectives" "''" "JJR" "PDT" "RBR" "RBS" "-LRB-" "-RRB-" "``" "FW" "NNPS" "WP$" "#"
"1" "mom" 39 85.3076923076923 738 3.71409214092141 2 38 8 27 3 49 2 64 27 1 9 93 16 10 3 118 24 31 3 26 4 39 98 8 5 12 5 1 3 9 28 0 0 0 0 0 0 0 0 0 0 0 0
"2" "play" 30 130 856 3.71495327102804 33 30 7 32 3 70 2 79 41 1 15 93 5 41 0 93 25 70 5 24 0 46 75 15 12 18 4 3 1 4 45 1 3 1 2 2 0 0 0 0 0 0 0
"3" "laugh" 39 110.692307692308 965 3.67564766839378 37 39 0 34 10 85 0 90 46 3 20 129 0 36 1 102 17 58 4 21 0 45 64 27 4 22 15 6 6 9 53 5 4 1 0 2 9 9 5 0 0 0 0
"4" "friend" 28 119.357142857143 750 3.58933333333333 7 31 0 10 5 80 3 91 27 2 15 110 1 16 2 76 23 54 7 17 1 32 40 16 14 32 17 4 7 2 31 0 2 1 2 1 0 0 1 1 0 0 0
"5" "laugh" 24 120.666666666667 674 3.41097922848665 2 28 0 31 2 42 2 72 31 0 3 78 2 10 0 78 14 72 5 16 9 23 98 13 13 12 2 1 2 4 31 0 0 0 2 0 0 0 0 7 0 0 0
"6" "chip" 60 65.35 867 3.85928489042676 35 78 0 13 18 64 0 96 25 1 5 87 17 18 2 108 9 43 4 21 4 43 18 23 2 51 34 1 0 1 26 27 0 0 0 0 1 1 16 0 1 0 0
"7" "face" 80 53.3375 972 3.70884773662551 38 81 1 32 6 68 1 81 45 2 10 104 20 25 3 115 33 61 20 20 1 29 85 23 18 16 5 1 0 7 48 10 1 2 3 0 0 0 5 0 0 0 0
"8" "laugh" 17 82.9411764705882 317 3.63722397476341 5 18 0 18 1 24 0 30 18 1 2 43 3 5 0 29 7 32 1 13 0 28 2 1 0 17 12 0 0 6 19 0 0 0 0 0 0 0 0 1 0 0 0
"9" "laughter" 48 81.4375 847 3.86186540731995 37 48 0 33 6 65 0 98 61 7 17 110 8 27 3 76 15 60 2 13 0 35 19 16 11 28 31 7 7 5 68 0 0 0 0 0 1 1 0 0 0 0 0
"10" "laugh" 40 73.175 623 3.96629213483146 30 41 1 20 8 48 2 66 35 5 13 72 14 20 5 59 6 55 3 7 1 22 19 10 1 18 23 1 5 8 43 1 3 0 1 0 0 0 0 0 0 0 0
"11" "hors" 18 122.888888888889 485 3.72989690721649 24 18 0 16 4 53 1 52 19 0 7 76 5 26 0 36 20 22 1 10 0 23 27 14 6 8 7 2 0 3 21 1 2 1 0 0 0 0 1 0 0 0 0
"12" "laugh" 35 134.142857142857 908 4.34801762114537 32 37 2 9 4 87 1 121 57 2 7 108 13 42 4 84 22 54 5 22 0 26 69 27 9 13 22 0 3 9 64 5 5 1 2 1 0 0 0 3 0 0 0
"13" "love" 17 222.058823529412 840 3.56428571428571 7 17 0 26 10 52 1 79 47 1 24 112 1 19 0 114 53 75 2 16 0 53 43 11 12 25 20 3 2 6 51 0 3 1 0 0 0 0 0 5 0 0 0
"14" "laugh" 31 93.5806451612903 615 3.90731707317073 17 31 0 18 2 36 0 58 32 3 10 83 6 17 0 69 28 43 3 15 0 37 25 12 3 24 23 0 1 14 35 3 0 1 1 0 0 0 0 0 0 0 0
"15" "laugh" 50 87.44 906 4.09271523178808 51 61 2 32 8 63 2 96 46 6 10 88 19 23 0 99 14 57 6 15 0 34 50 25 13 28 18 3 4 16 53 4 1 0 1 1 3 4 3 0 0 0 0
"16" "skate" 5 143.2 136 4.375 0 4 0 5 1 8 1 19 8 0 3 13 0 10 0 11 2 10 0 4 0 10 5 6 2 8 1 0 1 2 8 0 0 0 0 0 0 0 0 2 0 0 0
"17" "life" 40 93.15 803 3.85305105853051 29 41 0 30 9 48 3 75 53 2 17 86 6 20 0 95 24 52 4 25 0 41 55 13 10 23 12 2 5 11 56 7 1 0 0 0 0 0 4 0 0 0 0
"18" "laugh" 37 70.8378378378378 585 3.7042735042735 9 38 0 18 6 34 1 57 27 8 13 55 7 17 0 73 15 56 2 18 0 31 31 13 5 19 15 1 3 8 35 2 0 1 0 0 0 0 1 1 0 0 0
"19" "laugh" 52 67.8846153846154 822 3.52554744525547 23 52 0 45 6 54 1 64 32 3 16 84 8 36 1 103 29 62 4 18 0 56 17 9 8 27 48 3 1 9 38 0 3 0 0 0 0 0 0 0 0 0 0
"20" "laugh" 30 48.4333333333333 322 3.82919254658385 12 30 0 13 3 23 1 23 19 5 1 46 5 11 0 28 8 12 1 3 0 8 4 12 2 9 33 3 1 3 25 0 1 0 1 1 0 0 0 0 0 0 0
"21" "truck" 28 112.892857142857 695 3.72230215827338 33 28 0 31 8 68 1 75 27 2 8 87 7 23 0 57 15 51 8 22 0 25 49 22 11 13 9 2 1 9 29 1 0 1 0 1 0 0 0 0 0 0 0
"22" "car" 54 83.3333333333333 951 3.95268138801262 15 64 0 30 11 83 1 120 37 0 8 126 17 28 4 82 20 57 8 20 0 35 102 18 12 11 6 5 2 6 37 13 0 0 2 1 0 0 5 2 0 0 0
"23" "time" 6 451.5 524 4.28053435114504 4 11 1 5 1 44 0 88 36 0 5 68 6 14 0 45 15 45 0 12 0 22 46 27 6 7 2 1 0 5 37 0 1 1 1 0 0 0 3 2 0 0 0
"24" "dont" 30 135.233333333333 926 3.53455723542117 19 33 1 42 7 46 2 83 50 0 21 83 2 16 0 131 25 89 4 37 0 58 73 18 10 26 10 6 0 10 52 12 2 0 2 0 0 0 8 0 0 0 0
"25" "laughter" 22 82.4090909090909 390 3.84871794871795 8 22 0 8 5 29 0 48 16 4 4 41 3 12 0 42 13 25 5 16 0 18 25 9 7 10 8 0 4 1 24 0 4 0 0 2 0 0 1 0 0 0 0
"26" "laugh" 39 86.7948717948718 742 3.73989218328841 10 40 0 39 6 61 1 64 38 3 8 93 5 12 0 87 20 44 6 24 1 36 75 9 10 17 6 2 7 12 42 1 1 0 2 0 0 0 0 2 0 0 0
"27" "sister" 37 80.945945945946 685 3.58248175182482 21 41 0 22 3 38 1 73 32 0 9 71 0 17 0 95 30 46 7 22 0 29 69 18 15 4 6 1 3 2 37 2 5 2 1 0 0 0 0 0 0 0 0
"28" "feel" 36 113.861111111111 894 3.73825503355705 16 36 1 27 5 57 2 99 44 4 11 115 1 17 1 111 23 53 1 44 0 63 36 33 4 27 38 6 1 10 50 0 2 1 5 0 0 0 0 0 0 0 0
